year,party_id,party,eu_position,eu_blur,lrgen,galtan,lrecon,redistribution
2019,2314,MM,6.5,1.1666666,4.400000095367432,1.600000023841858,5.933333396911621,4.357142925262451
2019,2309,LMP,5.533333301544189,3.1666667,3.933333396911621,3.066666603088379,3.733333349227905,4
2019,2311,DK,6.928571224212646,1,3.333333253860474,2.133333444595337,4.666666507720947,4.071428775787354
2019,2302,Fidesz-KDNP,3.066666603088379,6.3333335,8.333333015441895,9.199999809265137,3.733333349227905,5
2019,2301,MSZP,6.5,2.1666667,3.400000095367432,3.733333349227905,4,3.5
2019,2308,JOBBIK,3.785714387893677,5.1666665,7.733333110809326,8.066666603088379,4.133333206176758,4.642857074737549
2019,2310,E14,6.44444465637207,1,3.571428537368774,1.428571462631226,4.666666507720947,2.75
2006,2408,LSDSP,5.5,NA,2.25,6,2.25,1.25
2006,2403,TP,6.5,NA,7.25,5.75,7.75,8.25
2006,2401,JL,5.75,NA,7,5,7,7.5
2006,2407,LC,7,NA,6.75,6,8,8.5
2006,2404,LPP,5.75,NA,7,8,7.75,8
2010,2411,ZRP,6,NA,6.375,5.142857074737549,6.666666507720947,5.777777671813965
2014,2413,NSL,4.222222328186035,NA,5.142857074737549,7.714285850524902,4.857142925262451,4.833333492279053
2019,2414,LRA,5.333333492279053,3.75,6,6.222222328186035,6.625,6.285714149475098
2019,2417,AP!,6.636363506317139,2.5,5.818181991577148,1.909090876579285,5.900000095367432,4.727272510528564
2019,2405,ZZS,4.818181991577148,3.75,5.818181991577148,7.636363506317139,5.454545497894287,5.727272510528564
2019,2410,SDPS,5.545454502105713,5.75,3.454545497894287,6.272727489471436,4,3.090909004211426
2019,2412,V,6.800000190734863,2.25,6.909090995788574,4.818181991577148,7.181818008422852,6.909090995788574
2019,2415,KPV LV,5.090909004211426,6.75,5.699999809265137,5.5,5,5.5
2019,2416,JKP,5.727272510528564,3.5,7.272727489471436,7.090909004211426,6.181818008422852,5.363636493682861
2019,2406,NA,4.727272510528564,3.75,8.454545021057129,8.090909004211426,6.090909004211426,6.272727489471436
2019,2402,LKS,4.300000190734863,5.25,2.272727251052856,7,3.200000047683716,2.777777671813965
2002,2502,NDP,5.2,NA,3.2,6.25,3.75,NA
2002,2503,LRS,4.2,NA,2.2,7,2.25,NA
2002,2513,JL-PKS,1.6,NA,9.8,8.6,2.25,NA
2002,2510,NKS,6,NA,6.6,5.25,5.5,NA
2002,2514,MKDS,6.6,NA,7,5,6.75,NA
2002,2509,LCS,6.4,NA,5.6,4.2,6.25,NA
2002,2512,LLS,2.2,NA,7.8,8.75,0.75,NA
2002,2508,LKDP,5.4,NA,7.4,8.2,4.25,NA
2010,2504,NS,6.199999809265137,NA,4.07692289352417,5.333333492279053,4,4
2010,2517,TPP,5.55555534362793,NA,5.44444465637207,4.5,5.777777671813965,6
2010,2505,LiCS,6.07692289352417,NA,6.230769157409668,4.083333492279053,6.75,5.92307710647583
